C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_04_928.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_04_928.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_04_928.jpg,0,0,0,4.760791E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_006.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_006.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_006.jpg,0,0,0,2.493116E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_085.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_085.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_085.jpg,0,0,0,1.406749E-05
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_162.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_162.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_162.jpg,0,0,0,1.104498E-05
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_240.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_240.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_240.jpg,0,0,0,5.36802E-07
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_317.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_317.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_317.jpg,0,0,0,1.837116E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_396.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_396.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_396.jpg,0,0,0,1.510695E-05
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_473.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_473.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_473.jpg,0,0,0,6.523773E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_551.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_551.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_551.jpg,0,0,0,7.659691E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_631.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_631.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_631.jpg,0,0,0,5.161293E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_707.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_707.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_707.jpg,0,0,0,1.237256E-05
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_784.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_784.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_784.jpg,0,0,0,3.433169E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_862.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_862.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_862.jpg,0,0,0,6.172409E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_05_939.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_05_939.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_05_939.jpg,0,0,0,7.697941E-06
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_06_015.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_06_015.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_06_015.jpg,0,0,0,6.185694E-07
C:\Users\Admin\Downloads\beta_simulator_windows\IMG\center_2022_06_27_00_34_06_092.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\left_2022_06_27_00_34_06_092.jpg,C:\Users\Admin\Downloads\beta_simulator_windows\IMG\right_2022_06_27_00_34_06_092.jpg,0,0,0,7.75523E-06
